RegionName,City,Metro,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,growth5yr
43205,Columbus,Columbus,59732.0,59449.0,59635.0,60328.0,61688.0,62798.0,63811.0,64792.0,65799.0,66223.0,66653.0,67648.0,69517.0,71415.0,72554.0,73698.0,74820.0,76746.0,78627.0,80324.0,82212.0,84747.0,87475.0,89566.0,91725.0,94235.0,96960.0,98834.0,101004.0,103651.0,107322.0,111016.0,114444.0,117783.0,121375,125750,130534,135523,140601,145809,150395,154281,158215,162484,167234,172937,178010,181840,183470,185163,187702,190884,194402,197836,200347,202565,204400,205186,206203,207875,2.4801279046407285
30314,Atlanta,Atlanta-Sandy Springs-Roswell,54298.0,55001.0,55316.0,56172.0,56842.0,57285.0,57394.0,58259.0,59370.0,60933.0,62269.0,63679.0,64529.0,64947.0,65660.0,66152.0,67253.0,68069.0,69596.0,70705.0,72221.0,73460.0,75066.0,76615.0,78689.0,81062.0,83236.0,84877.0,86272.0,88396.0,90830.0,94020.0,96747.0,98902.0,100067,101959,105011,109123,113593,118640,123755,128681,133081,136675,139653,142277,144740,148060,151010,153919,155408,157172,159175,161203,163443,166123,169741,174383,180050,184547,2.398780802239493
30310,Atlanta,Atlanta-Sandy Springs-Roswell,78299.0,79488.0,80291.0,80787.0,81228.0,82167.0,83847.0,85739.0,87396.0,89160.0,91161.0,93483.0,95907.0,97508.0,98857.0,100319.0,102548.0,104460.0,105911.0,107779.0,111098.0,115222.0,119058.0,121992.0,124159.0,126371.0,129141.0,132235.0,135812.0,139898.0,144111.0,147626.0,150958.0,155239.0,160630,166793,172493,178801,185462,192423,198708,204256,210020,215014,218842,220425,220558,221638,224074,227088,228209,228698,229073,229733,230116,231321,232872,235007,237397,238612,2.0474463275393044
32208,Jacksonville,Jacksonville,39348.0,38848.0,38454.0,38537.0,39057.0,39365.0,39521.0,39620.0,40277.0,41335.0,42205.0,42774.0,43464.0,44579.0,45647.0,46481.0,47422.0,48384.0,49468.0,50851.0,52697.0,54811.0,56705.0,58580.0,60056.0,61336.0,62522.0,63868.0,65547.0,67418.0,69120.0,70521.0,71640.0,73256.0,75460,77949,80519,82900,85237,87555,89287,91199,92932,95568,97415,98651,99200,99241,99385,99297,99922,100501,101266,101774,102537,102687,103488,104364,105567,107090,1.7216122801667175
30311,Atlanta,Atlanta-Sandy Springs-Roswell,81877.0,83881.0,84995.0,85852.0,85729.0,86212.0,86945.0,88354.0,89281.0,90535.0,91483.0,92836.0,94874.0,96057.0,97439.0,98069.0,99360.0,100030.0,101589.0,103224.0,106014.0,108724.0,111799.0,114507.0,115881.0,117491.0,119460.0,122959.0,126659.0,130443.0,133770.0,136907.0,139878.0,143232.0,146862,151158,156394,162214,168215,173506,177497,181633,184492,187164,187937,189166,189962,192058,193757,195534,195785,195887,196764,197597,199317,201088,203973,206085,208123,208673,1.5486156063363337
30032,Candler-Mcafee,Atlanta-Sandy Springs-Roswell,83564.0,83412.0,82708.0,82401.0,82830.0,83877.0,84646.0,85673.0,87223.0,89168.0,90083.0,90859.0,91949.0,94179.0,96339.0,97825.0,99203.0,100002.0,101642.0,103221.0,104434.0,105271.0,106835.0,109492.0,111997.0,113910.0,116646.0,120251.0,123769.0,127540.0,131054.0,134934.0,139304.0,144670.0,150657,156315,161998,168063,173629,179141,183015,187115,190723,194477,197991,200567,202507,203104,203551,203901,204252,204159,205479,206550,207828,208568,209173,209845,210278,211567,1.5317959887032693
75224,Dallas,Dallas-Fort Worth-Arlington,73182.0,74731.0,76706.0,78521.0,79636.0,80401.0,81311.0,82857.0,84306.0,85686.0,86926.0,88610.0,90172.0,92052.0,93967.0,96752.0,99922.0,103033.0,105770.0,108173.0,110868.0,113955.0,117463.0,120542.0,123079.0,124631.0,125625.0,126154.0,126020.0,126645.0,127685.0,129688.0,131679.0,132793.0,133936,135076,137727,141618,146036,150119,153930,156414,158328,159734,161574,163572,165422,167603,169193,169955,170323,171017,172292,174196,176359,178328,179770,181452,183072,184503,1.5211527424776585
90211,Beverly Hills,Los Angeles-Long Beach-Anaheim,1010992.0,1029976.0,1047114.0,1065646.0,1079371.0,1097075.0,1118852.0,1143519.0,1168439.0,1186912.0,1208691.0,1227204.0,1254632.0,1275616.0,1297935.0,1317699.0,1343191.0,1363901.0,1382869.0,1394499.0,1413462.0,1437737.0,1459989.0,1480136.0,1494742.0,1520081.0,1546179.0,1573188.0,1594661.0,1624460.0,1656752.0,1704025.0,1744927.0,1785406.0,1824327,1868787,1910807,1938425,1963177,1993555,2030119,2062326,2089675,2116072,2141866,2160423,2157780,2159297,2171540,2203962,2230575,2253956,2276149,2300187,2329400,2354435,2384830,2423355,2485106,2544209,1.5165471141215756
75141,Hutchins,Dallas-Fort Worth-Arlington,65704.0,66877.0,68252.0,69665.0,70089.0,70460.0,71091.0,72779.0,74640.0,76367.0,78147.0,80296.0,82409.0,83968.0,85752.0,87776.0,90068.0,92210.0,93359.0,94055.0,94789.0,96166.0,97816.0,99305.0,100691.0,102364.0,103994.0,105006.0,106272.0,107843.0,110934.0,114102.0,116864.0,118754.0,120522,122890,125456,128808,132203,135662,138318,140072,142171,144378,147245,149525,151713,153115,154736,155359,155904,156644,157846,159603,160230,160677,160674,161414,162083,162905,1.4793772068671618
33605,Tampa,Tampa-St. Petersburg-Clearwater,61869.0,62487.0,63497.0,64472.0,65326.0,66166.0,67646.0,69039.0,70551.0,72084.0,73834.0,75235.0,76554.0,78229.0,79780.0,81819.0,84029.0,86384.0,87586.0,88648.0,89417.0,89804.0,90388.0,91976.0,94660.0,97436.0,100699.0,103563.0,105983.0,107229.0,109065.0,111422.0,114466.0,117533.0,120520,122693,123817,124455,125423,126623,128172,130314,132228,133371,133996,134962,136349,137993,140158,142135,143418,144583,145637,146810,148029,149508,150954,152098,152722,153161,1.4755693481388095
